id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,false,18.0,,0.0
2,NL_Wind_Onshore,2030,false,49.0,,513.8108516101977
3,NL_Wind_Offshore,2030,false,49.0,,0.0
4,NL_Coal,2030,true,824.0,,6.0
5,NL_Nuclear,2030,true,2095.0,,0.0
6,NL_CCGT,2030,true,357.0,,9.0
7,NL_OCGT,2030,true,357.0,,2.0
8,NL_Battery,2030,false,100.0,,0.063590497383193
9,BE_Solar,2030,false,18.0,,391.00935404325304
10,BE_Wind_Onshore,2030,false,49.0,,394.0011359586678
11,BE_Coal,2030,true,824.0,,3.0
12,BE_Nuclear,2030,true,2095.0,,0.0
13,BE_CCGT,2030,true,357.0,,6.0
14,BE_OCGT,2030,true,357.0,,-0.0
15,BE_Battery,2030,false,100.0,,0.7540485795864197
16,DE_Solar,2030,false,18.0,,2774.6976002679908
17,DE_Wind_Offshore,2030,false,49.0,,0.0
18,DE_Coal,2030,true,824.0,,22.0
19,DE_Nuclear,2030,true,2095.0,,0.0
20,DE_CCGT,2030,true,357.0,,16.0
21,DE_OCGT,2030,true,357.0,,19.0
22,DE_Battery,2030,false,100.0,,29.3406012618347
23,FR_Wind_Onshore,2030,false,49.0,,2331.7864341290556
24,FR_Wind_Offshore,2030,false,49.0,,0.0
25,FR_Coal,2030,true,824.0,,7.0
26,FR_Nuclear,2030,true,2095.0,,-0.0
27,FR_OCGT,2030,true,357.0,,2.0
28,FR_Battery,2030,false,100.0,,26.869451550311496
29,LU_Solar,2030,false,18.0,,185.7647375824789
30,LU_Wind_Onshore,2030,false,49.0,,0.0
31,LU_Wind_Offshore,2030,false,49.0,,0.0
32,LU_Coal,2030,true,824.0,,-0.0
33,LU_Nuclear,2030,true,2095.0,,0.0
34,LU_CCGT,2030,true,357.0,,-0.0
35,LU_OCGT,2030,true,357.0,,-0.0
36,LU_Battery,2030,false,100.0,,4.181790957859793
37,CH_Solar,2030,false,18.0,,576.2680973693973
38,CH_Wind_Onshore,2030,false,49.0,,53.124984040595585
39,CH_Wind_Offshore,2030,false,49.0,,0.0
40,CH_Coal,2030,true,824.0,,5.0
41,CH_Nuclear,2030,true,2095.0,,0.0
42,CH_OCGT,2030,true,357.0,,7.0
43,UK_Solar,2030,false,18.0,,0.0
44,UK_Coal,2030,true,824.0,,-0.0
45,UK_Nuclear,2030,true,2095.0,,-0.0
46,UK_CCGT,2030,true,357.0,,11.0
47,UK_OCGT,2030,true,357.0,,9.0
48,UK_Battery,2030,false,100.0,,18.56599431246449
49,DK_Solar,2030,false,18.0,,0.0
50,DK_Coal,2030,true,824.0,,-0.0
51,DK_Nuclear,2030,true,2095.0,,0.0
52,DK_OCGT,2030,true,357.0,,-0.0
53,DK_Battery,2030,false,100.0,,0.0
54,NO_Solar,2030,false,18.0,,0.0
55,NO_Wind_Onshore,2030,false,49.0,,836.5576260650539
56,NO_Wind_Offshore,2030,false,49.0,,0.0
57,NO_Nuclear,2030,true,2095.0,,-0.0
58,NO_CCGT,2030,true,357.0,,-0.0
59,NO_OCGT,2030,true,357.0,,-0.0
60,NO_Battery,2030,false,100.0,,0.0
61,IE_Wind_Offshore,2030,false,49.0,,0.0
62,IE_Coal,2030,true,824.0,,-0.0
63,IE_Nuclear,2030,true,2095.0,,-0.0
64,IE_CCGT,2030,true,357.0,,-0.0
65,IE_OCGT,2030,true,357.0,,-0.0
66,SE_Wind_Onshore,2030,false,49.0,,749.0512068054343
67,SE_Coal,2030,true,824.0,,-0.0
68,SE_Nuclear,2030,true,2095.0,,-0.0
69,SE_CCGT,2030,true,357.0,,23.0
70,SE_OCGT,2030,true,357.0,,1.0
71,SE_Battery,2030,false,100.0,,0.7531480096980522
72,AT_Solar,2030,false,18.0,,0.0
73,AT_Wind_Onshore,2030,false,49.0,,548.1331319167888
74,AT_Wind_Offshore,2030,false,49.0,,0.0
75,AT_Coal,2030,true,824.0,,3.0
76,AT_Nuclear,2030,true,2095.0,,0.0
77,AT_CCGT,2030,true,357.0,,0.0
78,AT_OCGT,2030,true,357.0,,4.0
79,AT_Battery,2030,false,100.0,,0.0
80,CZ_Solar,2030,false,18.0,,216.32278087539453
81,CZ_Wind_Offshore,2030,false,49.0,,0.0
82,CZ_Nuclear,2030,true,2095.0,,0.0
83,CZ_CCGT,2030,true,357.0,,3.0
84,CZ_OCGT,2030,true,357.0,,-0.0
85,CZ_Battery,2030,false,100.0,,3.9239350305902554
86,PL_Solar,2030,false,18.0,,681.7428096426459
87,PL_Wind_Onshore,2030,false,49.0,,621.5777062361879
88,PL_Wind_Offshore,2030,false,49.0,,0.0
89,PL_Coal,2030,true,824.0,,7.0
90,PL_Nuclear,2030,true,2095.0,,0.0
91,PL_OCGT,2030,true,357.0,,-0.0
92,PL_Battery,2030,false,100.0,,3.4508325450636583
93,ES_Solar,2030,false,18.0,,1141.9380746620175
94,ES_Wind_Onshore,2030,false,49.0,,1336.2226634598258
95,ES_Wind_Offshore,2030,false,49.0,,0.0
96,ES_Coal,2030,true,824.0,,12.0
97,ES_Nuclear,2030,true,2095.0,,0.0
98,ES_CCGT,2030,true,357.0,,13.0
99,ES_OCGT,2030,true,357.0,,22.0
100,ES_Battery,2030,false,100.0,,8.186698210214171
101,IT_Solar,2030,false,18.0,,3160.5391248480905
102,IT_Wind_Offshore,2030,false,49.0,,0.0
103,IT_Nuclear,2030,true,2095.0,,0.0
104,IT_CCGT,2030,true,357.0,,12.0
105,IT_OCGT,2030,true,357.0,,27.0
106,IT_Battery,2030,false,100.0,,33.844576525789435
107,LT_Wind_Onshore,2030,false,49.0,,16.39105315073134
108,LT_Wind_Offshore,2030,false,49.0,,0.0
109,LT_Coal,2030,true,824.0,,0.0
110,LT_Nuclear,2030,true,2095.0,,0.0
111,LT_CCGT,2030,true,357.0,,2.0
112,LT_OCGT,2030,true,357.0,,-0.0
113,LT_Battery,2030,false,100.0,,0.0
114,FI_Solar,2030,false,18.0,,237.37604222618663
115,FI_Wind_Onshore,2030,false,49.0,,583.9936655829264
116,FI_Coal,2030,true,824.0,,3.0
117,FI_Nuclear,2030,true,2095.0,,-0.0
118,FI_OCGT,2030,true,357.0,,2.0
119,FI_Battery,2030,false,100.0,,3.0461729108773827
120,SI_Solar,2030,false,18.0,,251.8271322357737
121,SI_Wind_Onshore,2030,false,49.0,,0.0
122,SI_Wind_Offshore,2030,false,49.0,,0.0
123,SI_Coal,2030,true,824.0,,0.0
124,SI_OCGT,2030,true,357.0,,-0.0
125,HU_Solar,2030,false,18.0,,157.9472368010539
126,HU_Wind_Onshore,2030,false,49.0,,138.47626230620673
127,HU_Wind_Offshore,2030,false,49.0,,0.0
128,HU_Coal,2030,true,824.0,,6.0
129,HU_Nuclear,2030,true,2095.0,,0.0
130,HU_CCGT,2030,true,357.0,,1.0
131,HU_OCGT,2030,true,357.0,,-0.0
132,HU_Battery,2030,false,100.0,,0.11479605491204893
133,SK_Wind_Onshore,2030,false,49.0,,93.1467678872865
134,SK_Wind_Offshore,2030,false,49.0,,0.0
135,SK_Nuclear,2030,true,2095.0,,0.0
136,SK_CCGT,2030,true,357.0,,-0.0
137,SK_OCGT,2030,true,357.0,,-0.0
138,SK_Battery,2030,false,100.0,,0.0
139,PT_Solar,2030,false,18.0,,213.36631582604113
140,PT_Wind_Onshore,2030,false,49.0,,328.30178635440194
141,PT_Wind_Offshore,2030,false,49.0,,0.0
142,PT_Coal,2030,true,824.0,,2.0
143,PT_Nuclear,2030,true,2095.0,,0.0
144,PT_CCGT,2030,true,357.0,,2.0
145,PT_OCGT,2030,true,357.0,,3.0
146,PT_Battery,2030,false,100.0,,4.681562936465043
147,HR_Solar,2030,false,18.0,,24.619633110420445
148,HR_Wind_Onshore,2030,false,49.0,,132.7426997227742
149,HR_Coal,2030,true,824.0,,0.0
150,HR_CCGT,2030,true,357.0,,0.0
151,HR_OCGT,2030,true,357.0,,0.0
152,HR_Battery,2030,false,100.0,,3.482868852055542
153,RO_Solar,2030,false,18.0,,171.6681710084811
154,RO_Wind_Onshore,2030,false,49.0,,271.0327885354707
155,RO_Wind_Offshore,2030,false,49.0,,0.0
156,RO_Coal,2030,true,824.0,,2.0
157,RO_Nuclear,2030,true,2095.0,,0.0
158,RO_CCGT,2030,true,357.0,,2.0
159,RO_OCGT,2030,true,357.0,,8.0
160,RO_Battery,2030,false,100.0,,0.0
161,GR_Solar,2030,false,18.0,,9.894586973184376
162,GR_Wind_Onshore,2030,false,49.0,,246.0244371066695
163,GR_Coal,2030,true,824.0,,3.0
164,GR_Battery,2030,false,100.0,,0.0
165,LV_Solar,2030,false,18.0,,0.0
166,LV_Wind_Onshore,2030,false,49.0,,0.0
167,LV_Wind_Offshore,2030,false,49.0,,0.0
168,LV_Nuclear,2030,true,2095.0,,0.0
169,LV_CCGT,2030,true,357.0,,-0.0
170,LV_OCGT,2030,true,357.0,,0.0
171,LV_Battery,2030,false,100.0,,0.0
172,EE_Solar,2030,false,18.0,,81.65732363103618
173,EE_Wind_Onshore,2030,false,49.0,,16.60195893611543
174,EE_Coal,2030,true,824.0,,-0.0
175,EE_CCGT,2030,true,357.0,,-0.0
176,EE_OCGT,2030,true,357.0,,0.0
177,EE_Battery,2030,false,100.0,,4.069277759900447
178,MT_Solar,2030,false,18.0,,150.88226530541536
179,MT_Wind_Onshore,2030,false,49.0,,0.0
180,MT_Wind_Offshore,2030,false,49.0,,0.0
181,MT_CCGT,2030,true,357.0,,-0.0
182,MT_OCGT,2030,true,357.0,,0.0
183,MT_Battery,2030,false,100.0,,10.55519046174047
184,CY_Solar,2030,false,18.0,,158.28422207789814
185,CY_Wind_Onshore,2030,false,49.0,,0.0
186,CY_Coal,2030,true,824.0,,0.0
187,CY_Nuclear,2030,true,2095.0,,0.0
188,CY_CCGT,2030,true,357.0,,0.0
189,BG_Solar,2030,false,18.0,,188.02599303310006
190,BG_Wind_Onshore,2030,false,49.0,,219.570860459292
191,BG_Wind_Offshore,2030,false,49.0,,0.0
192,BG_Nuclear,2030,true,2095.0,,0.0
193,BG_OCGT,2030,true,357.0,,3.0
194,BG_Battery,2030,false,100.0,,4.509516841242263
195,DE_Wind_Onshore,2030,false,49.0,,1959.3374618228704
196,UK_Wind_Onshore,2030,false,49.0,,1686.3311065124747
197,DK_Wind_Onshore,2030,false,49.0,,275.00817047005233
198,NO_Coal,2030,true,824.0,,-0.0
199,SE_Solar,2030,false,18.0,,0.0
200,SE_Wind_Offshore,2030,false,49.0,,0.0
201,IT_Wind_Onshore,2030,false,49.0,,656.4357941051607
202,HR_Nuclear,2030,true,2095.0,,0.0
203,GR_Wind_Offshore,2030,false,49.0,,0.0
204,GR_Nuclear,2030,true,2095.0,,0.0
205,LV_Coal,2030,true,824.0,,1.0
206,EE_Wind_Offshore,2030,false,49.0,,0.0
207,MT_Coal,2030,true,824.0,,-0.0
208,CY_Wind_Offshore,2030,false,49.0,,0.0
209,BG_CCGT,2030,true,357.0,,0.0
210,PL_CCGT,2030,true,357.0,,3.0
211,GR_OCGT,2030,true,357.0,,0.0
212,BG_Coal,2030,true,824.0,,1.0
213,BE_Wind_Offshore,2030,false,49.0,,0.0
214,FR_Solar,2030,false,18.0,,1326.437825860448
215,FR_CCGT,2030,true,357.0,,11.0
216,CH_Battery,2030,false,100.0,,8.936003481945008
217,UK_Wind_Offshore,2030,false,49.0,,0.0
218,DK_Wind_Offshore,2030,false,49.0,,0.0
219,DK_CCGT,2030,true,357.0,,-0.0
220,IE_Solar,2030,false,18.0,,0.0
221,IE_Wind_Onshore,2030,false,49.0,,194.95069708898188
222,IE_Battery,2030,false,100.0,,0.0
223,CZ_Wind_Onshore,2030,false,49.0,,272.39447015931967
224,CZ_Coal,2030,true,824.0,,1.0
225,IT_Coal,2030,true,824.0,,28.0
226,LT_Solar,2030,false,18.0,,27.467601578046644
227,FI_Wind_Offshore,2030,false,49.0,,0.0
228,FI_CCGT,2030,true,357.0,,4.0
229,SI_Nuclear,2030,true,2095.0,,-0.0
230,SK_Solar,2030,false,18.0,,0.0
231,SK_Coal,2030,true,824.0,,-0.0
232,HR_Wind_Offshore,2030,false,49.0,,0.0
233,GR_CCGT,2030,true,357.0,,1.0
234,EE_Nuclear,2030,true,2095.0,,0.0
235,MT_Nuclear,2030,true,2095.0,,0.0
236,SI_CCGT,2030,true,357.0,,-0.0
237,CY_OCGT,2030,true,357.0,,0.0
238,CH_CCGT,2030,true,357.0,,2.0
239,SI_Battery,2030,false,100.0,,0.0
240,CY_Battery,2030,false,100.0,,0.0
